staff_id,name,role,assigned_location_id,phone
62,Staff-62,ASHA Worker,96,+917241402174
63,Staff-63,ASHA Worker,203,+917682781467
64,Staff-64,State Health Officer,80,+919176669141
65,Staff-65,District Health Officer,35,+919251792132
66,Staff-66,ASHA Worker,8,+917746196273
67,Staff-67,State Health Officer,52,+917247508299
68,Staff-68,State Health Officer,9,+918960432117
69,Staff-69,State Health Officer,93,+917855169963
70,Staff-70,District Health Officer,95,+918993803105
71,Staff-71,ASHA Worker,102,+919729064332
72,Staff-72,State Health Officer,175,+917131267917
73,Staff-73,State Health Officer,96,+919099323053
74,Staff-74,ASHA Worker,115,+917762716154
75,Staff-75,District Health Officer,151,+919367960313
76,Staff-76,District Health Officer,89,+917702285630
77,Staff-77,District Health Officer,192,+919958590550
78,Staff-78,State Health Officer,73,+917117898946
79,Staff-79,District Health Officer,13,+917699681969
80,Staff-80,ASHA Worker,200,+917920491305
81,Staff-81,State Health Officer,166,+917966848837
82,Staff-82,ASHA Worker,53,+918155705163
83,Staff-83,ASHA Worker,105,+919204526134
84,Staff-84,State Health Officer,200,+919930025537
85,Staff-85,State Health Officer,122,+917568284681
86,Staff-86,ASHA Worker,45,+919581885004
87,Staff-87,State Health Officer,58,+918084008690
88,Staff-88,ASHA Worker,207,+918311939403
89,Staff-89,ASHA Worker,182,+919760548616
90,Staff-90,District Health Officer,109,+918616949739
91,Staff-91,District Health Officer,118,+918082326234
92,Staff-92,State Health Officer,120,+918297703275
93,Staff-93,ASHA Worker,134,+919678367783
94,Staff-94,District Health Officer,150,+917439427140
95,Staff-95,State Health Officer,131,+919844794993
96,Staff-96,District Health Officer,144,+919780313235
97,Staff-97,ASHA Worker,156,+918214087964
98,Staff-98,District Health Officer,176,+917464305421
99,Staff-99,District Health Officer,17,+918444327294
100,Staff-100,District Health Officer,164,+918396453077
101,Staff-101,District Health Officer,67,+919818012241
102,Staff-102,ASHA Worker,167,+918283298067
103,Staff-103,State Health Officer,39,+919221759035
104,Staff-104,State Health Officer,15,+919577123417
105,Staff-105,District Health Officer,170,+918372610291
106,Staff-106,ASHA Worker,36,+917109329542
107,Staff-107,ASHA Worker,128,+918269612255
108,Staff-108,District Health Officer,108,+918737739017
109,Staff-109,District Health Officer,189,+917151693971
110,Staff-110,ASHA Worker,182,+919456903534
111,Staff-111,State Health Officer,88,+917955042637
112,Staff-112,ASHA Worker,137,+919741535989
113,Staff-113,District Health Officer,172,+918539733450
114,Staff-114,ASHA Worker,77,+917730087155
115,Staff-115,ASHA Worker,143,+917777972586
116,Staff-116,District Health Officer,25,+919021988477
117,Staff-117,State Health Officer,190,+918110901233
118,Staff-118,ASHA Worker,207,+919401022668
119,Staff-119,State Health Officer,175,+918441530442
120,Staff-120,ASHA Worker,23,+917954571559
